,id,sex,genotype,phenotype,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,Perimeter,Tribe,Genus,Species,sub-species,doresal/ventral,Anterior/Posterior,left/right,sub/Family,sex-phenotype
0,725,F,a-e,elegans,954465.0,1622.1291,1674,69.7104,967713404464,1166093876204630,1.48850925120962e+18,0.6015,0.63861,0.66756,777.8875,844.0,-25.298,179125471444.0,98157027576774.0,5.82341051974203e+16,0.51328,0.55511,0.58886,4565.9549,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
1,725,F,a-e,elegans,638157.0,1120.3231,1100,-59.4572,249024797899,195194465382355,1.64017680697156e+17,0.56789,0.61252,0.64729,729.2658,731.0,-95.3215,99133019103.0,49787697268249.0,2.69029093911666e+16,0.53917,0.58454,0.61987,4565.9549,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
2,726,F,a-s,aurora,984051.0,1673.3414,1741,89.1505,1069847709180,1336034050619670,1.7700928152209e+18,0.5989,0.63602,0.66519,774.3652,844.0,-39.1989,178260702151.0,96684173147953.0,5.69037777083334e+16,0.50429,0.54673,0.58102,4595.8817,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
3,726,F,a-s,aurora,634452.0,1145.199,1138,50.8133,267701750118,216542452655594,1.8749806518073e+17,0.5708,0.6141,0.6479,710.0563,718.0,-108.5135,94494918365.0,46428712462551.0,2.45646716224709e+16,0.5375,0.58256,0.61781,4595.8817,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
4,735,F,s-s,silvana,889416.0,1602.0627,1649,-123.5292,644725446306,711216237133670,8.53222445499065e+17,0.51631,0.56287,0.60016,732.2889,801.0,-44.8532,144607023282.0,74128171449556.0,4.11944827002094e+16,0.5034,0.54533,0.57916,4447.3519,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
5,735,F,s-s,silvana,552109.0,1051.3688,1035,22.2319,195482360421,144933005900285,1.14997785583302e+17,0.57491,0.61864,0.65272,675.18,670.0,-50.1721,70551107988.0,32464121232856.0,1.61090771560436e+16,0.53354,0.58039,0.61686,4447.3519,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
6,736,F,a-e,elegans,998666.0,1668.3737,1710,-104.4607,769446408206,880107516868692,1.09603753677949e+18,0.51331,0.56067,0.59856,791.1103,863.0,-24.5902,194687731402.0,108513568126722.0,6.54043164465776e+16,0.51162,0.55294,0.58619,4727.6391,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
7,736,F,a-e,elegans,630493.0,1103.9246,1089,40.7132,243177871497,188507441466907,1.56387633916566e+17,0.57029,0.61403,0.64804,732.1526,727.0,-85.5836,98590417572.0,49734103171044.0,2.70068426154033e+16,0.54393,0.58992,0.62577,4727.6391,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
8,738,M,a-e,elegans,1105201.0,1750.8576,1798,-114.3222,966163557720,1167105899993170,1.53180383590227e+18,0.52001,0.56637,0.60346,829.3862,900.0,-55.5016,231202150457.0,134401847957309.0,8.46653020897837e+16,0.5082,0.55048,0.58455,4885.6046,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
9,738,M,a-e,elegans,745133.0,1178.7182,1172,-77.563,328297026705,272648933753097,2.42912022921019e+17,0.56636,0.61028,0.64473,810.1177,821.0,-155.7159,150723211926.0,85637734990026.0,5.23697946600833e+16,0.54781,0.5922,0.62715,4885.6046,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
10,739,M,a-s,aurora,1098193.0,1748.2674,1777,-137.4878,974171267242,1179206247899090,1.54760800629965e+18,0.53002,0.57626,0.61314,821.2672,894.0,-36.2276,226921527869.0,130803594894157.0,8.16176190310217e+16,0.50846,0.55035,0.58403,4824.5407,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
11,739,M,a-s,aurora,749234.0,1175.0814,1159,-58.1109,327308181280,270366357430614,2.39306218183812e+17,0.57028,0.61427,0.64864,815.381,821.0,-144.6753,154459202382.0,88368133720702.0,5.43475001347409e+16,0.55304,0.59733,0.63212,4824.5407,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
12,740,F,a-e,elegans,806069.0,1492.6429,1529,59.6524,669792028956,735155563226024,8.56251348457042e+17,0.59618,0.63425,0.66397,709.7441,773.0,-48.3921,124800606191.0,62259520014289.0,3.36427200106471e+16,0.50903,0.55093,0.58472,4155.4726,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
13,740,F,a-e,elegans,520380.0,1021.4941,1012,-13.5258,169616091484,121236983684136,9.28223625055681e+16,0.56415,0.60803,0.64217,652.337,654.0,-92.8112,65059761309.0,29296401885313.0,1.41979224266516e+16,0.54065,0.58603,0.62144,4155.4726,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
14,742,M,s-s,silvana,1099084.0,1789.8597,1839,58.0554,1286820557354,1684705052705730,2.3449499991718e+18,0.58839,0.62697,0.65719,802.177,874.0,-18.9307,214633175034.0,120580525754864.0,7.33990924370585e+16,0.50562,0.54774,0.58164,4809.4452,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
15,742,M,s-s,silvana,731799.0,1157.1963,1147,-19.5067,307899610208,250086115203310,2.17832344296409e+17,0.56552,0.60954,0.64398,811.961,822.0,-16.5531,146370299171.0,82992735627421.0,5.06885787190506e+16,0.54407,0.58886,0.62411,4809.4452,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
16,755,F,a-e,elegans,1018165.0,1671.0457,1729,104.6061,1078630509337,1333701064251560,1.75029157207044e+18,0.5953,0.63283,0.66226,800.8539,869.0,-19.127,202064167233.0,114028527674261.0,6.97166862278368e+16,0.51264,0.55468,0.58865,4665.2442,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
17,755,F,a-e,elegans,663348.0,1136.6787,1133,-37.6066,277110987983,222783159247011,1.9163820513053e+17,0.57046,0.6135,0.64708,749.5901,746.0,-108.6379,107245196996.0,55218768410994.0,3.06369503950833e+16,0.53899,0.5853,0.62142,4665.2442,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
18,759,M,e-s,elegans,1152681.0,1763.898,1795,-131.4415,1037996539712,1265250883804280,1.67096852908962e+18,0.52866,0.57468,0.61129,851.5599,917.0,-33.0056,252974811693.0,150638053681227.0,9.70843096027577e+16,0.51088,0.5534,0.58748,4889.026,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
19,759,M,e-s,elegans,781256.0,1181.4045,1169,-22.898,340882547545,282229119348565,2.5059650158607e+17,0.56506,0.60924,0.64377,845.6859,858.0,-3.1018,171534547818.0,101465233687698.0,6.45358526000428e+16,0.54612,0.59023,0.62483,4889.026,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
20,760,F,a-s,aurora,1004786.0,1677.3017,1760,88.6948,1113280928536,1399651783986980,1.86567597350703e+18,0.59807,0.63456,0.66325,790.592,868.0,-34.9272,194283168913.0,108352460103629.0,6.55414036764829e+16,0.5066,0.54836,0.58222,4634.7102,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
21,760,F,a-s,aurora,648724.0,1140.2274,1117,-36.0163,259057091134,205728571811840,1.75115972230086e+17,0.56574,0.61051,0.6453,729.9006,727.0,-23.1063,98878561301.0,49432462451511.0,2.6612114858775e+16,0.53702,0.58315,0.61904,4634.7102,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
22,771,M,a-e,elegans,998774.0,1661.5032,1704,78.4225,1035930465635,1269701943898650,1.65176078562571e+18,0.59767,0.63573,0.6655,787.5757,854.0,-52.3568,189220736750.0,104523489479118.0,6.2513693275651e+16,0.50967,0.55181,0.58569,4658.3325,Heliconiinae,Heliconius,numata,elegans,d,Ant,d,Ithomiinae,m-aurora
